"GEOID20","District"
"1100102-001",6
"1100102-002",2
"1100102-003",2
"1100102-004",2
"1100102-005",2
"1100102-006",2
"1100102-007",3
"1100102-008",3
"1100102-009",3
"1100102-010",3
"1100102-011",3
"1100102-012",3
"1100102-013",2
"1100102-014",2
"1100102-015",2
"1100102-016",2
"1100102-017",2
"1100102-018",2
"1100102-019",5
"1100102-020",1
"1100102-021",2
"1100102-022",1
"1100102-023",1
"1100102-024",1
"1100102-025",1
"1100102-026",3
"1100102-027",3
"1100102-028",3
"1100102-029",3
"1100102-030",3
"1100102-031",3
"1100102-032",3
"1100102-033",3
"1100102-034",3
"1100102-035",1
"1100102-036",1
"1100102-037",1
"1100102-038",1
"1100102-039",1
"1100102-040",1
"1100102-041",1
"1100102-042",1
"1100102-043",1
"1100102-044",5
"1100102-045",4
"1100102-046",4
"1100102-047",4
"1100102-048",4
"1100102-049",4
"1100102-050",3
"1100102-051",4
"1100102-052",4
"1100102-053",4
"1100102-054",4
"1100102-055",4
"1100102-056",4
"1100102-057",4
"1100102-058",4
"1100102-059",4
"1100102-060",4
"1100102-061",4
"1100102-062",4
"1100102-063",4
"1100102-064",4
"1100102-065",4
"1100102-066",5
"1100102-067",5
"1100102-068",5
"1100102-069",5
"1100102-070",5
"1100102-071",5
"1100102-072",5
"1100102-073",5
"1100102-074",5
"1100102-075",5
"1100102-076",5
"1100102-077",5
"1100102-078",5
"1100102-079",5
"1100102-080",7
"1100102-081",7
"1100102-082",6
"1100102-083",6
"1100102-084",6
"1100102-085",6
"1100102-086",7
"1100102-087",6
"1100102-088",6
"1100102-089",6
"1100102-090",6
"1100102-091",6
"1100102-092",7
"1100102-093",7
"1100102-094",7
"1100102-095",7
"1100102-096",7
"1100102-097",7
"1100102-098",7
"1100102-099",7
"1100102-100",7
"1100102-101",7
"1100102-102",7
"1100102-103",7
"1100102-104",7
"1100102-105",7
"1100102-106",7
"1100102-107",7
"1100102-108",7
"1100102-109",7
"1100102-110",7
"1100102-111",7
"1100102-112",8
"1100102-113",7
"1100102-114",8
"1100102-115",8
"1100102-116",8
"1100102-117",8
"1100102-118",8
"1100102-119",8
"1100102-120",8
"1100102-121",8
"1100102-122",8
"1100102-123",8
"1100102-124",8
"1100102-125",8
"1100102-126",8
"1100102-127",8
"1100102-128",6
"1100102-129",2
"1100102-130",6
"1100102-131",6
"1100102-132",7
"1100102-133",8
"1100102-134",8
"1100102-135",5
"1100102-136",3
"1100102-137",1
"1100102-138",3
"1100102-139",5
"1100102-140",8
"1100102-141",2
"1100102-142",6
"1100102-143",6
